"Código
Concelho";"Designação
Concelho";Código;Freguesias antes da Reorganização;Alteração;"Código
Novo";Freguesias - Reorganização de 2013;
0101;AGUEDA;010103;Aguada de Cima;;010103;Aguada de Cima;
0101;AGUEDA;010109;Fermentelos;;010109;Fermentelos;
0101;AGUEDA;010112;Macinhata do Vouga;;010112;Macinhata do Vouga;
0101;AGUEDA;010119;Valongo do Vouga;;010119;Valongo do Vouga;
0101;AGUEDA;010104;Águeda;Junção;010121;União das freguesias de Águeda e Borralha;
0101;AGUEDA;010120;Borralha;Junção;010121;União das freguesias de Águeda e Borralha;
0101;AGUEDA;010102;Aguada de Baixo;Junção;010122;União das freguesias de Barrô e Aguada de Baixo;
0101;AGUEDA;010105;Barrô;Junção;010122;União das freguesias de Barrô e Aguada de Baixo;
0101;AGUEDA;010101;Agadão;Junção;010123;União das freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão;
0101;AGUEDA;010106;Belazaima do Chão;Junção;010123;União das freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão;
0101;AGUEDA;010107;Castanheira do Vouga;Junção;010123;União das freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão;
0101;AGUEDA;010108;Espinhel;Junção;010124;União das freguesias de Recardães e Espinhel;
0101;AGUEDA;010115;Recardães;Junção;010124;União das freguesias de Recardães e Espinhel;
0101;AGUEDA;010113;Óis da Ribeira;Junção;010125;União das freguesias de Travassô e Óis da Ribeira;
0101;AGUEDA;010117;Travassô;Junção;010125;União das freguesias de Travassô e Óis da Ribeira;
0101;AGUEDA;010110;Lamas do Vouga;Junção;010126;União das freguesias de Trofa, Segadães e Lamas do Vouga;
0101;AGUEDA;010116;Segadães;Junção;010126;União das freguesias de Trofa, Segadães e Lamas do Vouga;
0101;AGUEDA;010118;Trofa;Junção;010126;União das freguesias de Trofa, Segadães e Lamas do Vouga;
0101;AGUEDA;010111;Macieira de Alcoba;Junção;010127;União das freguesias do Préstimo e Macieira de Alcoba;
0101;AGUEDA;010114;Préstimo;Junção;010127;União das freguesias do Préstimo e Macieira de Alcoba;
0102;ALBERGARIA-A-VELHA;010202;Alquerubim;;010202;Alquerubim;
0102;ALBERGARIA-A-VELHA;010203;Angeja;;010203;Angeja;
0102;ALBERGARIA-A-VELHA;010204;Branca;;010204;Branca;
0102;ALBERGARIA-A-VELHA;010206;Ribeira de Fráguas;;010206;Ribeira de Fráguas;
0102;ALBERGARIA-A-VELHA;010201;Albergaria-a-Velha;Junção;010209;Albergaria-a-Velha e Valmaior;
0102;ALBERGARIA-A-VELHA;010208;Valmaior;Junção;010209;Albergaria-a-Velha e Valmaior;
0102;ALBERGARIA-A-VELHA;010205;Frossos;Junção;010210;São João de Loure e Frossos;
0102;ALBERGARIA-A-VELHA;010207;São João de Loure;Junção;010210;São João de Loure e Frossos;
0103;ANADIA;010304;Avelãs de Caminho;;010304;Avelãs de Caminho;
0103;ANADIA;010305;Avelãs de Cima;;010305;Avelãs de Cima;
0103;ANADIA;010307;Moita;;010307;Moita;
0103;ANADIA;010309;Sangalhos;;010309;Sangalhos;
0103;ANADIA;010310;São Lourenço do Bairro;;010310;São Lourenço do Bairro;
0103;ANADIA;010312;Vila Nova de Monsarros;;010312;Vila Nova de Monsarros;
0103;ANADIA;010313;Vilarinho do Bairro;;010313;Vilarinho do Bairro;
0103;ANADIA;010301;Amoreira da Gândara;Junção;010316;União das freguesias de Amoreira da Gândara, Paredes do Bairro e Ancas;
0103;ANADIA;010302;Ancas;Junção;010316;União das freguesias de Amoreira da Gândara, Paredes do Bairro e Ancas;
0103;ANADIA;010314;Paredes do Bairro;Junção;010316;União das freguesias de Amoreira da Gândara, Paredes do Bairro e Ancas;
0103;ANADIA;010303;Arcos;Junção;010317;União das freguesias de Arcos e Mogofores;
0103;ANADIA;010306;Mogofores;Junção;010317;União das freguesias de Arcos e Mogofores;
0103;ANADIA;010308;Óis do Bairro;Junção;010318;União das freguesias de Tamengos, Aguim e Óis do Bairro;
0103;ANADIA;010311;Tamengos;Junção;010318;União das freguesias de Tamengos, Aguim e Óis do Bairro;
0103;ANADIA;010315;Aguim;Junção;010318;União das freguesias de Tamengos, Aguim e Óis do Bairro;
0104;AROUCA;010402;Alvarenga;;010402;Alvarenga;
0104;AROUCA;010407;Chave;;010407;Chave;
0104;AROUCA;010409;Escariz;;010409;Escariz;
0104;AROUCA;010411;Fermedo;;010411;Fermedo;
0104;AROUCA;010413;Mansores;;010413;Mansores;
0104;AROUCA;010414;Moldes;;010414;Moldes;
0104;AROUCA;010415;Rossas;;010415;Rossas;
0104;AROUCA;010416;Santa Eulália;;010416;Santa Eulália;
0104;AROUCA;010417;São Miguel do Mato;;010417;São Miguel do Mato;
0104;AROUCA;010418;Tropeço;;010418;Tropeço;
0104;AROUCA;010419;Urrô;;010419;Urrô;
0104;AROUCA;010420;Várzea;;010420;Várzea;
0104;AROUCA;010403;Arouca;Junção;010421;União das freguesias de Arouca e Burgo;
0104;AROUCA;010404;Burgo;Junção;010421;União das freguesias de Arouca e Burgo;
0104;AROUCA;010401;Albergaria da Serra;Junção;010422;União das freguesias de Cabreiros e Albergaria da Serra;
0104;AROUCA;010405;Cabreiros;Junção;010422;União das freguesias de Cabreiros e Albergaria da Serra;
0104;AROUCA;010406;Canelas;Junção;010423;União das freguesias de Canelas e Espiunca;
0104;AROUCA;010410;Espiunca;Junção;010423;União das freguesias de Canelas e Espiunca;
0104;AROUCA;010408;Covelo de Paivó;Junção;010424;União das freguesias de Covelo de Paivó e Janarde;
0104;AROUCA;010412;Janarde;Junção;010424;União das freguesias de Covelo de Paivó e Janarde;
0105;AVEIRO;010501;Aradas;;010501;Aradas;
0105;AVEIRO;010502;Cacia;;010502;Cacia;
0105;AVEIRO;010505;Esgueira;;010505;Esgueira;
0105;AVEIRO;010508;Oliveirinha;;010508;Oliveirinha;
0105;AVEIRO;010510;São Bernardo;;010510;São Bernardo;
0105;AVEIRO;010511;São Jacinto;;010511;São Jacinto;
0105;AVEIRO;010513;Santa Joana;;010513;Santa Joana;
0105;AVEIRO;010503;Eirol;Junção;010515;Eixo e Eirol;
0105;AVEIRO;010504;Eixo;Junção;010515;Eixo e Eirol;
0105;AVEIRO;010507;Nariz;Junção;010516;Requeixo, Nossa Senhora de Fátima e Nariz;
0105;AVEIRO;010509;Requeixo;Junção;010516;Requeixo, Nossa Senhora de Fátima e Nariz;
0105;AVEIRO;010514;Nossa Senhora de Fátima;Junção;010516;Requeixo, Nossa Senhora de Fátima e Nariz;
0105;AVEIRO;010506;Glória;Junção;010517;União das freguesias de Glória e Vera Cruz;
0105;AVEIRO;010512;Vera Cruz;Junção;010517;União das freguesias de Glória e Vera Cruz;
0106;CASTELO DE PAIVA;010602;Fornos;;010602;Fornos;
0106;CASTELO DE PAIVA;010606;Real;;010606;Real;
0106;CASTELO DE PAIVA;010607;Santa Maria de Sardoura;;010607;Santa Maria de Sardoura;
0106;CASTELO DE PAIVA;010608;São Martinho de Sardoura;;010608;São Martinho de Sardoura;
0106;CASTELO DE PAIVA;010603;Paraíso;Junção;010610;União das freguesias de Raiva, Pedorido e Paraíso;
0106;CASTELO DE PAIVA;010604;Pedorido;Junção;010610;União das freguesias de Raiva, Pedorido e Paraíso;
0106;CASTELO DE PAIVA;010605;Raiva;Junção;010610;União das freguesias de Raiva, Pedorido e Paraíso;
0106;CASTELO DE PAIVA;010601;Bairros;Junção;010611;União das freguesias de Sobrado e Bairros;
0106;CASTELO DE PAIVA;010609;Sobrado;Junção;010611;União das freguesias de Sobrado e Bairros;
0107;ESPINHO;010702;Espinho;;010702;Espinho;
0107;ESPINHO;010704;Paramos;;010704;Paramos;
0107;ESPINHO;010705;Silvalde;;010705;Silvalde;
0107;ESPINHO;010701;Anta;Junção;010706;União das freguesias de Anta e Guetim;
0107;ESPINHO;010703;Guetim;Junção;010706;União das freguesias de Anta e Guetim;
0108;ESTARREJA;010801;Avanca;;010801;Avanca;
0108;ESTARREJA;010805;Pardilhó;;010805;Pardilhó;
0108;ESTARREJA;010806;Salreu;;010806;Salreu;
0108;ESTARREJA;010802;Beduído;Junção;010808;União das freguesias de Beduído e Veiros;
0108;ESTARREJA;010807;Veiros;Junção;010808;União das freguesias de Beduído e Veiros;
0108;ESTARREJA;010803;Canelas;Junção;010809;União das freguesias de Canelas e Fermelã;
0108;ESTARREJA;010804;Fermelã;Junção;010809;União das freguesias de Canelas e Fermelã;
0109;FEIRA;010901;Argoncilhe;;010901;Argoncilhe;
0109;FEIRA;010902;Arrifana;;010902;Arrifana;
0109;FEIRA;010904;Escapães;;010904;Escapães;
0109;FEIRA;010907;Fiães;;010907;Fiães;
0109;FEIRA;010908;Fornos;;010908;Fornos;
0109;FEIRA;010913;Lourosa;;010913;Lourosa;
0109;FEIRA;010914;Milheirós de Poiares;;010914;Milheirós de Poiares;
0109;FEIRA;010916;Mozelos;;010916;Mozelos;
0109;FEIRA;010917;Nogueira da Regedoura;;010917;Nogueira da Regedoura;
0109;FEIRA;010918;São Paio de Oleiros;;010918;São Paio de Oleiros;
0109;FEIRA;010919;Paços de Brandão;;010919;Paços de Brandão;
0109;FEIRA;010921;Rio Meão;;010921;Rio Meão;
0109;FEIRA;010922;Romariz;;010922;Romariz;
0109;FEIRA;010924;Sanguedo;;010924;Sanguedo;
0109;FEIRA;010925;Santa Maria de Lamas;;010925;Santa Maria de Lamas;
0109;FEIRA;010926;São João de Ver;;010926;São João de Ver;
0109;FEIRA;010920;Pigeiros;Junção;010932;União das freguesias de Caldas de São Jorge e Pigeiros;
0109;FEIRA;010927;Caldas de São Jorge;Junção;010932;União das freguesias de Caldas de São Jorge e Pigeiros;
0109;FEIRA;010903;Canedo;Junção;010933;União das freguesias de Canedo, Vale e Vila Maior;
0109;FEIRA;010930;Vale;Junção;010933;União das freguesias de Canedo, Vale e Vila Maior;
0109;FEIRA;010931;Vila Maior;Junção;010933;União das freguesias de Canedo, Vale e Vila Maior;
0109;FEIRA;010909;Gião;Junção;010934;União das freguesias de Lobão, Gião, Louredo e Guisande;
0109;FEIRA;010910;Guisande;Junção;010934;União das freguesias de Lobão, Gião, Louredo e Guisande;
0109;FEIRA;010911;Lobão;Junção;010934;União das freguesias de Lobão, Gião, Louredo e Guisande;
0109;FEIRA;010912;Louredo;Junção;010934;União das freguesias de Lobão, Gião, Louredo e Guisande;
0109;FEIRA;010905;Espargo;Junção;010935;União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo;
0109;FEIRA;010906;Feira;Junção;010935;União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo;
0109;FEIRA;010923;Sanfins;Junção;010935;União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo;
0109;FEIRA;010929;Travanca;Junção;010935;União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo;
0109;FEIRA;010915;Mosteiró;Junção;010936;União das freguesias de São Miguel do Souto e Mosteirô;
0109;FEIRA;010928;Souto;Junção;010936;União das freguesias de São Miguel do Souto e Mosteirô;
0110;ILHAVO;011002;Gafanha da Encarnação;Junção;011005;Gafanha da Encarnação;
0110;ILHAVO;011003;Gafanha da Nazaré;Junção;011006;Gafanha da Nazaré;
0110;ILHAVO;011001;Gafanha do Carmo;Junção;011007;Gafanha do Carmo;
0110;ILHAVO;011004;Ílhavo (São Salvador);Junção;011008;Ílhavo (São Salvador);
0111;MEALHADA;011102;Barcouço;;011102;Barcouço;
0111;MEALHADA;011103;Casal Comba;;011103;Casal Comba;
0111;MEALHADA;011104;Luso;;011104;Luso;
0111;MEALHADA;011106;Pampilhosa;;011106;Pampilhosa;
0111;MEALHADA;011107;Vacariça;;011107;Vacariça;
0111;MEALHADA;011101;Antes;Junção;011109;União das freguesias da Mealhada, Ventosa do Bairro e Antes;
0111;MEALHADA;011105;Mealhada;Junção;011109;União das freguesias da Mealhada, Ventosa do Bairro e Antes;
0111;MEALHADA;011108;Ventosa do Bairro;Junção;011109;União das freguesias da Mealhada, Ventosa do Bairro e Antes;
0112;MURTOSA;011201;Bunheiro;;011201;Bunheiro;
0112;MURTOSA;011202;Monte;;011202;Monte;
0112;MURTOSA;011203;Murtosa;;011203;Murtosa;
0112;MURTOSA;011204;Torreira;;011204;Torreira;
0113;OLIVEIRA DE AZEMEIS;011301;Carregosa;;011301;Carregosa;
0113;OLIVEIRA DE AZEMEIS;011302;Cesar;;011302;Cesar;
0113;OLIVEIRA DE AZEMEIS;011303;Fajões;;011303;Fajões;
0113;OLIVEIRA DE AZEMEIS;011304;Loureiro;;011304;Loureiro;
0113;OLIVEIRA DE AZEMEIS;011305;Macieira de Sarnes;;011305;Macieira de Sarnes;
0113;OLIVEIRA DE AZEMEIS;011310;Ossela;;011310;Ossela;
0113;OLIVEIRA DE AZEMEIS;011315;São Martinho da Gândara;;011315;São Martinho da Gândara;
0113;OLIVEIRA DE AZEMEIS;011318;São Roque;;011318;São Roque;
0113;OLIVEIRA DE AZEMEIS;011319;Vila de Cucujães;;011319;Vila de Cucujães;
0113;OLIVEIRA DE AZEMEIS;011308;Nogueira do Cravo;Junção;011320;União das freguesias de Nogueira do Cravo e Pindelo;
0113;OLIVEIRA DE AZEMEIS;011312;Pindelo;Junção;011320;União das freguesias de Nogueira do Cravo e Pindelo;
0113;OLIVEIRA DE AZEMEIS;011306;Macinhata da Seixa;Junção;011321;União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail;
0113;OLIVEIRA DE AZEMEIS;011307;Madail;Junção;011321;União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail;
0113;OLIVEIRA DE AZEMEIS;011309;Oliveira de Azeméis;Junção;011321;União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail;
0113;OLIVEIRA DE AZEMEIS;011314;Santiago de Riba-Ul;Junção;011321;União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail;
0113;OLIVEIRA DE AZEMEIS;011317;Ul;Junção;011321;União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail;
0113;OLIVEIRA DE AZEMEIS;011311;Palmaz;Junção;011322;União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz;
0113;OLIVEIRA DE AZEMEIS;011313;Pinheiro da Bemposta;Junção;011322;União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz;
0113;OLIVEIRA DE AZEMEIS;011316;Travanca;Junção;011322;União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz;
0114;OLIVEIRA DO BAIRRO;011403;Oiã;;011403;Oiã;
0114;OLIVEIRA DO BAIRRO;011404;Oliveira do Bairro;;011404;Oliveira do Bairro;
0114;OLIVEIRA DO BAIRRO;011405;Palhaça;;011405;Palhaça;
0114;OLIVEIRA DO BAIRRO;011401;Bustos;Junção;011407;União das freguesias de Bustos, Troviscal e Mamarrosa;
0114;OLIVEIRA DO BAIRRO;011402;Mamarrosa;Junção;011407;União das freguesias de Bustos, Troviscal e Mamarrosa;
0114;OLIVEIRA DO BAIRRO;011406;Troviscal;Junção;011407;União das freguesias de Bustos, Troviscal e Mamarrosa;
0115;OVAR;011502;Cortegaça;;011502;Cortegaça;
0115;OVAR;011503;Esmoriz;;011503;Esmoriz;
0115;OVAR;011504;Maceda;;011504;Maceda;
0115;OVAR;011507;Válega;;011507;Válega;
0115;OVAR;011501;Arada;Junção;011509;União das freguesias de Ovar, São João, Arada e São Vicente de Pereira Jusã;
0115;OVAR;011505;Ovar;Junção;011509;União das freguesias de Ovar, São João, Arada e São Vicente de Pereira Jusã;
0115;OVAR;011506;São Vicente de Pereira Jusã;Junção;011509;União das freguesias de Ovar, São João, Arada e São Vicente de Pereira Jusã;
0115;OVAR;011508;São João;Junção;011509;União das freguesias de Ovar, São João, Arada e São Vicente de Pereira Jusã;
0116;S.JOAO DA MADEIRA;011601;São João da Madeira;;011601;São João da Madeira;
0117;SEVER DO VOUGA;011702;Couto de Esteves;;011702;Couto de Esteves;
0117;SEVER DO VOUGA;011704;Pessegueiro do Vouga;;011704;Pessegueiro do Vouga;
0117;SEVER DO VOUGA;011705;Rocas do Vouga;;011705;Rocas do Vouga;
0117;SEVER DO VOUGA;011706;Sever do Vouga;;011706;Sever do Vouga;
0117;SEVER DO VOUGA;011708;Talhadas;;011708;Talhadas;
0117;SEVER DO VOUGA;011701;Cedrim;Junção;011710;União das freguesias de Cedrim e Paradela;
0117;SEVER DO VOUGA;011703;Paradela;Junção;011710;União das freguesias de Cedrim e Paradela;
0117;SEVER DO VOUGA;011707;Silva Escura;Junção;011711;União das freguesias de Silva Escura e Dornelas;
0117;SEVER DO VOUGA;011709;Dornelas;Junção;011711;União das freguesias de Silva Escura e Dornelas;
0118;VAGOS;011801;Calvão;;011801;Calvão;
0118;VAGOS;011804;Gafanha da Boa Hora;;011804;Gafanha da Boa Hora;
0118;VAGOS;011805;Ouca;;011805;Ouca;
0118;VAGOS;011807;Sosa;;011807;Sosa;
0118;VAGOS;011810;Santo André de Vagos;;011810;Santo André de Vagos;
0118;VAGOS;011802;Covão do Lobo;Junção;011812;União das freguesias de Fonte de Angeão e Covão do Lobo;
0118;VAGOS;011803;Fonte de Angeão;Junção;011812;União das freguesias de Fonte de Angeão e Covão do Lobo;
0118;VAGOS;011806;Ponte de Vagos;Junção;011813;União das freguesias de Ponte de Vagos e Santa Catarina;
0118;VAGOS;011811;Santa Catarina;Junção;011813;União das freguesias de Ponte de Vagos e Santa Catarina;
0118;VAGOS;011808;Vagos;Junção;011814;União das freguesias de Vagos e Santo António;
0118;VAGOS;011809;Santo António de Vagos;Junção;011814;União das freguesias de Vagos e Santo António;
0119;VALE DE CAMBRA;011901;Arões;;011901;Arões;
0119;VALE DE CAMBRA;011902;São Pedro de Castelões;;011902;São Pedro de Castelões;
0119;VALE DE CAMBRA;011903;Cepelos;;011903;Cepelos;
0119;VALE DE CAMBRA;011905;Junqueira;;011905;Junqueira;
0119;VALE DE CAMBRA;011906;Macieira de Cambra;;011906;Macieira de Cambra;
0119;VALE DE CAMBRA;011907;Roge;;011907;Roge;
0119;VALE DE CAMBRA;011904;Codal;Junção;011910;União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho;
0119;VALE DE CAMBRA;011908;Vila Chã;Junção;011910;União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho;
0119;VALE DE CAMBRA;011909;Vila Cova de Perrinho;Junção;011910;União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho;
0201;ALJUSTREL;020102;Ervidel;;020102;Ervidel;
0201;ALJUSTREL;020103;Messejana;;020103;Messejana;
0201;ALJUSTREL;020104;São João de Negrilhos;;020104;São João de Negrilhos;
0201;ALJUSTREL;020101;Aljustrel;Junção;020106;União das freguesias de Aljustrel e Rio de Moinhos;
0201;ALJUSTREL;020105;Rio de Moinhos;Junção;020106;União das freguesias de Aljustrel e Rio de Moinhos;
0202;ALMODOVAR;020203;Rosário;;020203;Rosário;
0202;ALMODOVAR;020205;Santa Cruz;;020205;Santa Cruz;
0202;ALMODOVAR;020206;São Barnabé;;020206;São Barnabé;
0202;ALMODOVAR;020208;Aldeia dos Fernandes;;020208;Aldeia dos Fernandes;
0202;ALMODOVAR;020201;Almodôvar;Junção;020209;União das freguesias de Almodôvar e Graça dos Padrões;
0202;ALMODOVAR;020207;Senhora da Graça de Padrões;Junção;020209;União das freguesias de Almodôvar e Graça dos Padrões;
0202;ALMODOVAR;020202;Gomes Aires;Junção;020210;União das freguesias de Santa Clara-a-Nova e Gomes Aires;
0202;ALMODOVAR;020204;Santa Clara-a-Nova;Junção;020210;União das freguesias de Santa Clara-a-Nova e Gomes Aires;
0203;ALVITO;020301;Alvito;;020301;Alvito;
0203;ALVITO;020302;Vila Nova da Baronia;;020302;Vila Nova da Baronia;
0204;BARRANCOS;020401;Barrancos;;020401;Barrancos;
0205;BEJA;020502;Baleizão;;020502;Baleizão;
0205;BEJA;020503;Beringel;;020503;Beringel;
0205;BEJA;020504;Cabeça Gorda;;020504;Cabeça Gorda;
0205;BEJA;020506;Nossa Senhora das Neves;;020506;Nossa Senhora das Neves;
0205;BEJA;020510;Santa Clara de Louredo;;020510;Santa Clara de Louredo;
0205;BEJA;020516;São Matias;;020516;São Matias;
0205;BEJA;020501;Albernoa;Junção;020519;União das freguesias de Albernoa e Trindade;
0205;BEJA;020517;Trindade;Junção;020519;União das freguesias de Albernoa e Trindade;
0205;BEJA;020509;Beja (Salvador);Junção;020520;União das freguesias de Beja (Salvador e Santa Maria da Feira);
0205;BEJA;020511;Beja (Santa Maria da Feira);Junção;020520;União das freguesias de Beja (Salvador e Santa Maria da Feira);
0205;BEJA;020513;Beja (Santiago Maior);Junção;020521;União das freguesias de Beja (Santiago Maior e São João Baptista);
0205;BEJA;020515;Beja (São João Baptista);Junção;020521;União das freguesias de Beja (Santiago Maior e São João Baptista);
0205;BEJA;020507;Quintos;Junção;020522;União das freguesias de Salvada e Quintos;
0205;BEJA;020508;Salvada;Junção;020522;União das freguesias de Salvada e Quintos;
0205;BEJA;020505;Mombeja;Junção;020523;União das freguesias de Santa Vitória e Mombeja;
0205;BEJA;020512;Santa Vitória;Junção;020523;União das freguesias de Santa Vitória e Mombeja;
0205;BEJA;020514;São Brissos;Junção;020524;União das freguesias de Trigaches e São Brissos;
0205;BEJA;020518;Trigaches;Junção;020524;União das freguesias de Trigaches e São Brissos;
0206;CASTRO VERDE;020603;Entradas;;020603;Entradas;
0206;CASTRO VERDE;020604;Santa Bárbara de Padrões;;020604;Santa Bárbara de Padrões;
0206;CASTRO VERDE;020605;São Marcos da Ataboeira;;020605;São Marcos da Ataboeira;
0206;CASTRO VERDE;020601;Casével;Junção;020606;União das freguesias de Castro Verde e Casével;
0206;CASTRO VERDE;020602;Castro Verde;Junção;020606;União das freguesias de Castro Verde e Casével;
0207;CUBA;020701;Cuba;;020701;Cuba;
0207;CUBA;020702;Faro do Alentejo;;020702;Faro do Alentejo;
0207;CUBA;020703;Vila Alva;;020703;Vila Alva;
0207;CUBA;020704;Vila Ruiva;;020704;Vila Ruiva;
0208;FERREIRA DO ALENTEJO;020803;Figueira dos Cavaleiros;;020803;Figueira dos Cavaleiros;
0208;FERREIRA DO ALENTEJO;020804;Odivelas;;020804;Odivelas;
0208;FERREIRA DO ALENTEJO;020801;Alfundão;Junção;020807;União das freguesias de Alfundão e Peroguarda;
0208;FERREIRA DO ALENTEJO;020805;Peroguarda;Junção;020807;União das freguesias de Alfundão e Peroguarda;
0208;FERREIRA DO ALENTEJO;020802;Ferreira do Alentejo;Junção;020808;União das freguesias de Ferreira do Alentejo e Canhestros;
0208;FERREIRA DO ALENTEJO;020806;Canhestros;Junção;020808;União das freguesias de Ferreira do Alentejo e Canhestros;
0209;MERTOLA;020901;Alcaria Ruiva;;020901;Alcaria Ruiva;
0209;MERTOLA;020902;Corte do Pinto;;020902;Corte do Pinto;
0209;MERTOLA;020903;Espírito Santo;;020903;Espírito Santo;
0209;MERTOLA;020904;Mértola;;020904;Mértola;
0209;MERTOLA;020905;Santana de Cambas;;020905;Santana de Cambas;
0209;MERTOLA;020906;São João dos Caldeireiros;;020906;São João dos Caldeireiros;
0209;MERTOLA;020907;São Miguel do Pinheiro;Junção;020910;União das freguesias de São Miguel do Pinheiro, São Pedro de Solis e São Sebastião dos Carros;
0209;MERTOLA;020908;São Pedro de Solis;Junção;020910;União das freguesias de São Miguel do Pinheiro, São Pedro de Solis e São Sebastião dos Carros;
0209;MERTOLA;020909;São Sebastião dos Carros;Junção;020910;União das freguesias de São Miguel do Pinheiro, São Pedro de Solis e São Sebastião dos Carros;
0210;MOURA;021001;Amareleja;;021001;Amareleja;
0210;MOURA;021002;Póvoa de São Miguel;;021002;Póvoa de São Miguel;
0210;MOURA;021008;Sobral da Adiça;;021008;Sobral da Adiça;
0210;MOURA;021004;Moura (Santo Agostinho);Junção;021009;União das freguesias de Moura (Santo Agostinho e São João Baptista) e Santo Amador;
0210;MOURA;021006;Santo Amador;Junção;021009;União das freguesias de Moura (Santo Agostinho e São João Baptista) e Santo Amador;
0210;MOURA;021007;Moura (São João Baptista);Junção;021009;União das freguesias de Moura (Santo Agostinho e São João Baptista) e Santo Amador;
0210;MOURA;021003;Safara;Junção;021010;União das freguesias de Safara e Santo Aleixo da Restauração;
0210;MOURA;021005;Santo Aleixo da Restauração;Junção;021010;União das freguesias de Safara e Santo Aleixo da Restauração;
0211;ODEMIRA;021102;Relíquias;;021102;Relíquias;
0211;ODEMIRA;021103;Sabóia;;021103;Sabóia;
0211;ODEMIRA;021106;São Luís;;021106;São Luís;
0211;ODEMIRA;021107;São Martinho das Amoreiras;;021107;São Martinho das Amoreiras;
0211;ODEMIRA;021111;Vila Nova de Milfontes;;021111;Vila Nova de Milfontes;
0211;ODEMIRA;021115;Luzianes-Gare;;021115;Luzianes-Gare;
0211;ODEMIRA;021116;Boavista dos Pinheiros;;021116;Boavista dos Pinheiros;
0211;ODEMIRA;021117;Longueira/Almograve;;021117;Longueira/Almograve;
0211;ODEMIRA;021101;Colos;Junção;021118;Colos;
0211;ODEMIRA;021113;Bicos (parte);Divisão;021118;Colos;
0211;ODEMIRA;021104;Santa Clara-a-Velha;Junção;021119;Santa Clara-a-Velha;
0211;ODEMIRA;021112;Pereiras-Gare;Junção;021119;Santa Clara-a-Velha;
0211;ODEMIRA;021105;Odemira (Santa Maria);Junção;021120;São Salvador e Santa Maria ;
0211;ODEMIRA;021108;Odemira (São Salvador);Junção;021120;São Salvador e Santa Maria ;
0211;ODEMIRA;021109;São Teotónio;Junção;021121;São Teotónio;
0211;ODEMIRA;021114;Zambujeira do Mar;Junção;021121;São Teotónio;
0211;ODEMIRA;021110;Vale de Santiago;Junção;021122;Vale de Santiago;
0211;ODEMIRA;021113;Bicos (parte);Divisão;021122;Vale de Santiago;
0212;OURIQUE;021203;Ourique;;021203;Ourique;
0212;OURIQUE;021206;Santana da Serra;;021206;Santana da Serra;
0212;OURIQUE;021202;Garvão;Junção;021207;União das freguesias de Garvão e Santa Luzia;
0212;OURIQUE;021205;Santa Luzia;Junção;021207;União das freguesias de Garvão e Santa Luzia;
0212;OURIQUE;021201;Conceição;Junção;021208;União das freguesias de Panoias e Conceição;
0212;OURIQUE;021204;Panóias;Junção;021208;União das freguesias de Panoias e Conceição;
0213;SERPA;021302;Brinches;;021302;Brinches;
0213;SERPA;021303;Pias;;021303;Pias;
0213;SERPA;021307;Vila Verde de Ficalho;;021307;Vila Verde de Ficalho;
0213;SERPA;021304;Serpa (Salvador);Junção;021308;União das freguesias de Serpa (Salvador e Santa Maria);
0213;SERPA;021305;Serpa (Santa Maria);Junção;021308;União das freguesias de Serpa (Salvador e Santa Maria);
0213;SERPA;021301;Aldeia Nova de São Bento;Junção;021309;União das freguesias de Vila Nova de São Bento e Vale de Vargo;
0213;SERPA;021306;Vale de Vargo;Junção;021309;União das freguesias de Vila Nova de São Bento e Vale de Vargo;
0214;VIDIGUEIRA;021401;Pedrógão;;021401;Pedrógão;
0214;VIDIGUEIRA;021402;Selmes;;021402;Selmes;
0214;VIDIGUEIRA;021403;Vidigueira;;021403;Vidigueira;
0214;VIDIGUEIRA;021404;Vila de Frades;;021404;Vila de Frades;
0301;AMARES;030102;Barreiros;;030102;Barreiros;
0301;AMARES;030104;Bico;;030104;Bico;
0301;AMARES;030105;Caires;;030105;Caires;
0301;AMARES;030107;Carrazedo;;030107;Carrazedo;
0301;AMARES;030108;Dornelas;;030108;Dornelas;
0301;AMARES;030111;Fiscal;;030111;Fiscal;
0301;AMARES;030112;Goães;;030112;Goães;
0301;AMARES;030113;Lago;;030113;Lago;
